Francais,Lingala
"On utilise les pointillés pour le modèle, et les traits continus pour la réalité.","Basalelaka ba pointiye mpo na modeli, mpe batrait oyo elandami mpo na bosolo."
Ce gant est troué au niveau du pouce.,Gant oyo etoboka esika ya musapi ya munene.
Il y a un festival lors de la récolte du riz.,Ezali na mayangani ya bokongoli loso.
Les couleurs du motif sont très ordinaires.,Langi ya bilamba bati ezali ya momeseno mpenza.
"J'attends avec impatience le jour où Mlle Cobb va revenir, je peux vous dire.","Nazali kozela mukolo oyo mademoiselle Cobb akozonga, nayebisa bino."
On ne peut pas être à deux endroits en même temps.,Okoki kozwama bisilka mibale mbala moko te.
J'ai croisé Naomi en rentrant chez moi et on a discuté.,Nakutani na Naomi na ntangu ya bozongi ndaku mpe tosololaki.
"Écoute, regarde et ne bouge pas.","Yoka, tala mpe koningana te."
Veux-tu te joindre à moi pour pratiquer la danse de salon ?,Olingi ko pusana pembeni na nga po to meka mabina na ndako?
"Les Russes copient les mœurs françaises, mais toujours à cinquante ans de distance.","Ba Russes bamekolaka bizaleli ya ba français, kasi na mbula ntuku mitano ya mosika."
N'ayez crainte de la vie. Croyez qu'elle vaut la peine d'être vécue et votre foi aidera à créer le fait.,Kobanga bomoyi te. Ndima ete ezali malamu kolongama pe boyambi na yo ekosala likambo.
Elle a perdu la clé de son casier alors qu'elle nageait dans la piscine.,Abungisi fongola ya armoire na ye tango azalaki kosukola na eziba ya mayi.
"Une petite sieste et hop, je suis frais comme un gardon.","Bopemi ya mukie mpe mbala moko, nayoki nzoto makasi lokola moto ya elenge."
"Moins le blanc est intelligent, plus le noir lui paraît bête.","Mindele mike baza mayele, ba mwindo ebele ba basoba."
"Chaque génération, sans doute, se croit vouée à refaire le monde. La mienne sait pourtant qu'elle ne le refera pas. Mais sa tâche est peut-être plus grande. Elle consiste à empêcher que le monde se défasse.","Génération nionso, ekanisaka ete bakobandela mokili ya sika. Ya ngai eyebi ete ekobandelisa yango te. Kasi mosala ya kosala ekoki kozala munene koleka. Ezali kopekisa mokili epanzana."
"Si vous voulez oublier n'importe quoi sur le champ, prenez note de vous en souvenir.","Soki okanisi te likambo nyoso na ngonga oyo, sala nyoso ose rapele nakambo wana."
Vous devez lui présenter des excuses quand vous le verrez.,Ebongi kosenga ye mbolibisi tango okomona ye.
"Quand je travaillais dans une école publique, j'avais de dix à quinze étudiants par classe.","Tago nazali kosala na eteyelo ya mbula-matadi, nazalaki na bana ya kelasi zomi nz mitano na kelasi moko."
Je vois Dana.,Nazo mona Dana.
Pourquoi faut-il que le plus grand crime et la plus grande gloire soient de verser le sang d'un homme ?,Mpo na nini esengeli kaka ete mabe ya makasi to mpe kolonga ya makasi ezalaka kaka kotangisa makila ya moto ?
"Jamais on ne corrompt le peuple, mais souvent on le trompe, et c'est alors seulement qu'il paraît vouloir ce qui est mal.","Mokolo moko te bakopesa kanyaka na bato, kasi mbala mingi bakokosa bango, pe ezali tango ena kaka ekomonisama bolingi maye mazali mabe."
"Les documents relatifs à cette période sont particulièrement rares, peut-être à cause d'une longue série de désastres naturelles qui ont frappé la capitale.","Mikanda ya eleko ena ezalaki mingi penza te, tango mosusu ezali po na mikakatano mingi ya mokili maye masalemaki na engumba ena."
"Il existe partout des hommes de bien pour dénoncer au pouvoir ces individus d'humeur atrabilaire qui veulent déposer les princes et opérer, sans la consulter, le déménagement d'une société.","Ezali na bato ya malamu pna kofunda bakonzi ya mitema mabe oyo balingi bozwa mikano kasi batuni bakonzi ya likolo te, koningisa ekolo mobimba."
"Selon la recherche effectuée par Gunnar Samuelsson, Jésus n'est peut-être pas mort sur une croix. Il est possible qu'il soit plutôt mort sur un poteau ou sur un tronc d'arbre.","Engebenena ya boluki oyo esalemi na Gunna Samuelsson, eza neti Yesu akufaki na ekukusu te. Ekoki ko zala ete akufaki nde likolo ya likonzi to nzete."
Le cerf dormait sur un lit de feuillages.,Mbuli azalaki kolala na mbeto ya matiti.
Elle s'est totalement sacrifiée pour élever ses enfants.,Amipesi mbeka pona kokolisa bana naye.
"Nous lisons tous deux la bible jour et nuit, mais vous lisez noir là où je lis blanc.","Tozali kotangaka biso mibale bibiliya moyi mpe butu, kasi ozali kotanga mwindo esika nazali kotanga mpembe ."
"De même que la chenille choisit, pour y poser ses œufs, les feuilles les plus belles ; ainsi le prêtre pose ses malédictions sur nos plus belles joies.","Na lolenge mbinzo aponaka nkasa ya kitoko mpona kobwaka maki na ye, nganga nzambe atiyaka botutu likolo ya matama na biso."
Il a été chargé d'une mission top secrète.,Apesamaki mosala ya sekele makasi.
Que s'est-il passé pour que tu rigoles ainsi ?,Likambo nini esekisi yo boye?
Napoléon conduisit ses troupes en Russie.,Napoléon amemaki ba mampiga mya ye na mboka Russie.
Cet article traite des progrès de la recherche contre le cancer.,Mokanda oyo alobeli bikamwa ezali kosalama na boluki na tina ya bokobo bwa Cancer.
Le nom de cette chanson est « Only You ».,Kombo ya ndako oyo ezali « Only You ».
Mes amis m'ont invité à dîner.,Baninga na ngai babengisaki ngai mpo na koliya na midi.
C'est le bébé le plus charmant que j'aie jamais vu.,Aza mwana kitoko koleka na baye nyoso nasi na mona.
"Tu dis que je le connais bien, mais en réalité, on me l'a présenté la semaine dernière.","Olobi ete nayebi ye malamu, kasi na bosolo, balakisaki ngai ye na mposo eleki."
Le puissant séisme à Hokkaido a causé d'importants dégâts.,Botetemeki ya mabele ya Hokaido esalaki bobebisi mingi.
Le chef de la guilde relégua Vince à une position de sous-officier parce qu'il abusait de son pouvoir.,Mokonzi ya Guilde Relagua Vince aza na esika ya mokonzo ya nse po azimbaki na bokonzi.
La soubrette est entrée portant un gâteau.,Boyi ya muasi akotaki na gâteau azalaki komema.
Souffle toutes les chandelles du gâteau de fête en même temps.,Foula likolo ya ba bougies noynso ya fɛti na mbala moko.
La vengeance est un plat qui se mange froid.,Kobukanisa ezali bileyi oyo eliyamaka ntango ekomi malili.
"Il y a des choses que l'intelligence seule est capable de chercher, mais que par elle-même elle ne trouvera jamais. Ces choses, l'instinct seul les trouverait, mais il ne les cherchera jamais.","Ezali ba biloko oyo kaka mayele nde ekoki koluka, kasi na yango moko kaka ekozua te. Biloko oyo, molimo yango moko ekozuaka yango, kasi ekolukaka yango te."
"Nous ne percevons, pratiquement, que par le passé, le présent pur étant l'insaisissable progrès du passé rongeant l'avenir.","Tososolaka kaka, na bosolo, na maye maleka, maye mazali kosalama sika awa ezali bokobi ya maye maleka, maye tokoki kosimba te mpe exali koliya maye makoya."
"Ce n'est pas immoral pour un romancier de mentir. Au contraire, plus les mensonges sont gros et habiles, et plus les gens du peuple et les critiques vous louangeront.","Ezali mabe te pona mokomi ko kosa. Na ndenge mosusu, na mingi lokuta ezali monene mpe makasi, mpe mingi bato ya mboka mpe ba critiques bako kumisa yo."
"Internet, téléphones portables ou numérisation... Quelles conséquences l'évolution technologique apporte-t-elle aux opinions, comportements et intérêts politiques des gens ?","Internet, telefone ya maboko to bisalelo misusu ya mikolo oyo... Mbeba nini bokei liboso ya bisaleli ya bato ezali komema na makanisi, bizaleli mpe makambo ya politiki ya bato ?"
Il est interdit aux étudiants de fumer sur le terrain de l'école.,Epekisami na bayekoli komela makaya na etando ya eteyelo.
Est-ce que le Roi Albert aurait une relation secrète avec la Princesse Diana ? Je ne crois pas. Il est trop gros.,Solo mpenza mokonzi Albert azali na boyokani na nkuku na mwasi mokonzi Diana ? Nandimi te. Azali monene mingi.
"C'est dommage, mais ton personnage se fait tuer au début de la pièce.","Eza mawa, kasi elili na yo abomamaka na ebandeli ya lisano."
Scott a reçu une éducation très sévère.,Scott akolisami na lolenge ya makasi mingi.
Betty a une voix charmante.,Betty azali na mungongo ya kitoko.
"On ne peut pas dire que la civilisation ne progresse pas, car pour chaque guerre, ils trouvent de nouvelles façons de vous égorger.","Tokoki koloba te ete mokoli ezali kozonga sima, mpo ete na bitumba nyonso ya sika, bazali kobimisa lolenge ya sika ya koboma bato."
Une maison en bois brûle plus facilement qu'une maison de pierre.,Ndako etongami na mabaya epelaka moto na mpete koleka ndako oyo etongami na mabanga.
Elle hurle à peine on lui touche le nerf ulnaire.,Angangi makasi kaka ntangu basimbi ye misisa ya maboko.
"Elle a fait un voyage en Amérique, en s'arrêtant dans six grandes villes.","Asalaki mombembo na America, atelemaki na ba mboka motoba ya minene."
"Le président Kennedy a été tué, mais sa légende vivra pour toujours.","Mokonzi Kennedy ba bomaki ye, kasi nsango naye ekotila seko na seko."
"Quoi d'étonnant si la prison ressemble aux usines, aux écoles, aux casernes, aux hôpitaux, qui tous ressemblent aux prisons ?","Eloko ya kokamwa ezali wapi, soko boloko ezali kokokana na bisika ya mosala, ba eteyelo, da camp ya basoda, balopitalo, yango nyonso mpe lisusu ezali kokokana na baboloko."
L'objective de cette entreprise est de gagner la confiance et le respect de nos clients.,Makambo companie oyo ezali kolanda ezali ete tokoma nakozwa etingiya mpe limemiya yaba clients na biso.
Elle a joué aux cartes avec Roy.,Abetaki kalati elongo na Roy.
"Si tu lui demandes trop directement si elle a un copain, elle va être sur ses gardes et répondre : « Pourquoi tu poses la question ? ».","Soki otuni ye mbala moko soki azali na likangu, akozala na bobangi mnpe akoyanola yo boye : « Pona nini ozali kotuna ngai motuna ? »."
"Quand je nettoyais après le festival de l'école, j'ai perdu une clé du bâtiment, et j'ai été forcé d'écrire une lettre d'excuses.","Nabungisaki fungola ya lopango tango nazalaki kokombola na sima ya elambo ya eteyelo, mpe esengelaki nakoma mokanda ya bosengi bolimbisi."
Le résultat de toute recherche sérieuse ne peut être que poser deux questions là où il n'y en avait qu'une auparavant.,Eyano ya misala ya bolukiluki oyo ya solo epesaka kaka mituna mibale bisika oyo motuna azalaki kaka moko liboso.
Les premiers arrivés auront les meilleures places.,Baye bakokoma liboso bakozwa bisika ya malamu.
La nouvelle tendance pour boire une vodka est de la mettre directement dans l'œil. Cependant cela risque d'endommager grièvement votre vision.,Lolenge ya sika ya komela wiski ya vodka ezali kotiya yango mbala moko na liso. Kasi yango ezali na bokebi na kobebisa miso na yo na bokasi
"L'an passé, il a beaucoup plu.","Mobu moleki, mbula enukaki mingi."
Tu devras regarder le film quand tu en auras l'occasion.,Eko senga olanda film oyo mokolo oko koka.
"Dans cette boîte, je me sentais comme un poisson hors de l'eau.","Nakati ya nganda wana, nazalaki komiyoka lokola mbisi libanda ya ebale."
Mademoiselle Green m'a posé deux questions.,Ndeko-muasi Green atunaki ngai mituna mibale.
"Il y a quelques jours, ma copine Sophie a déménagé d'Edmonton, en Alberta, vers Victoria, en Colombie-Britannique.","Eleki mwa mikolo, moninga na ngai Sophie alongwaki Edmonton, na Alberta, mpo na kokende kovanda na Victoria, na Colombie-Britannique."
Elle se souvient de la voiture de Monsieur Black.,Azali kokundola motuka ya tata Black.
Il est doux et noble de mourir pour la patrie.,Ezali likambo ya kitoko mpe lokumu kokufa pona ekolo.
Il est doux et noble de mourir pour la patrie.,Ezali likambu ya malamu mpe lokumu kokufa pona ekolo.
L'ensemble des nombres réels est un exemple typique de corps.,Lisanga ya mituya ya solo ezali ndakisa ya nzoto.
"Allez-y doucement avec Bob. Vous savez, il a traversé une période difficile récemment.","Kende kuna na malembe elongo na Bob. Oyebi ete, awuti kolekela mikakatano ya makasi mikolo euti koleka."
"N'oublions pas d'accélérer la mutation des gares en carrefour de l'intermodalité, lieux de communication, d'échange et de citoyenneté.","Kokanisa ko accelerer milindo ya basolokoto te na intermodalite, epai ya comunikasion, ya eshange mpe ya bwana mboka."
"Hisser les formations professionnelles initiales par l'apprentissage et par la voie scolaire au rang de filières de promotion sociale, d'exigence et de haute qualité éducative.","Matisa masolo ya ebadeli na koyekola mpe na nzela ya kelasi na molongo ya bolakisi ya komatisa lingomba, na mitindo mpe lolenge ya kotangisa malamu."
IA signifie Intelligence Artificielle.,IA elingi koloba mayele moto asali.
Il va lui falloir deux heures pour venir à bout de cette tâche.,Esengeli ngonga mibale po te asilisa mosala azali na yango.
Elle a suivi un régime les deux derniers mois car elle a pris trop de poids durant l'hiver.,Asalaki regime ya sanza mibale ewuti koleka mpamba te akomaki monene makasi na hiver.
"Pars tout de suite, ou tu seras en retard à l'école.","Kende sikoyo, soki te okozala na sima na kelassi."
Le détective mit six mois à tirer au clair cette affaire.,Bolopoli esalaki nsanza motoba mpo na kotia polele likambo oyo.
Je sais que son oncle va lui présenter une femme.,nayebi ete noko naye akolakisa ye muasi.
Les Indiens étaient prêts à se mettre sur le sentier de la guerre à la moindre provocation.,Baindien babongamaki na nzela ya bitumba soki batumoli bango.
De tels traitements feraient se rebeller n'importe qui.,Makambu ya boye ekokaki kotombokisa mutu nyonso.
Ma sœur est assistante d'un professeur d'université.,Ndeko-mwasi na nga aza mosalisi ya moko molakisi ya eteyelo ya likolo.
Mme Harris est très réservée sur l'avenir de son fils.,Ndeko mwasi Harris alingaka koloba na ntina ya mwana wa ye te.
"Selon des sources bien informées, ____ Ltd. se prépare à rejoindre la première section de la bourse de Tokyo.","Engebene na masolo ya solo, ____ Ltd. ezali komibongisa na kokota na eteni ya yambo ya misolo ya Tokyo."
J'espère que l'on pourra garder le contact.,Nakai ete tokokoba kokutana.
"À une époque où l'on faisait taire les voix des femmes et où l'on congédiait leurs espoirs, elle a survécu pour les voir se mettre debout et se prononcer et tendre la main pour prendre un scrutin.","Na ntangu oyo bazalaki kokangisa basi minoko mpe koboma elikya na bango, alongaki po ete amona bango lelo kotelama mpe kotanda loboko pona kopesa ya bango likanisi na maponami."
J'en parlerai avec Marty et je verrai ce qu'il en pense.,Nakosolola na Marty pe nakomona nini azali kokanisa.
Quel sorte de jeu est-ce ?,Oyo lisano ya ndenge nini?
"Messieurs, démarrez vos moteurs.","Messieurs, bo démarrez ba moteurs na bino."
"Les Français sont vraiment un peuple bizarre : parmi ceux qui lisent cette phrase, un sur deux va vérifier si l'espace avant le double point est bien fine et insécable.","Ba Français bazali mpenza bato moko ndenge: kati ya bato oyo bazali kotanga lisakola liye, moko likolo na mibale kati na bango akokende kotala soki ntaka liboso ya mputu mibale ezali malamu."
Ce vendeur persévérait à me demander d'acheter une voiture.,Moteki oyo atiaki molende ya kotuna ngai nasomba motuka.
Il est parti.,Akei.
"À trop vouloir expliquer l'inexplicable, on finit par excuser l'inexcusable.","Nakolinga kolimbola oyo ekoki kolimbolama te, okosilisa kolimbisa oyo ekoki kolimbisama te."
J'ai passé l'aspirateur dans les chambres pendant toute la matinée.,Nalekisaki ebendi putulu na elalelo tongo nyonso.
"Pendant l'époque stalinienne, les prisonniers des camps de concentration devenaient esclaves au service de l'État.","Na ntango ya Staline, bakangami oyo bazalaka esika moko bakomaka bawumbu na mosala ya Leta."
Tu vas manquer le train si tu ne te dépêches pas.,Okozanga engbunduka soki osali mbangu te.
Je suis désolé de vous déranger pendant que vous parlez.,Mawa na ndenge nazali kotungisa yo ntango ozali kolola.
Je te promets de te rendre cette cassette vidéo dans une semaine.,Na laki ko zongisela yo bande ya video na poso moko.
Le New York Times vérifie sa galerie tout le temps.,New York Times etalaka galerie na yango ngonga nyoso.
Le jeune homme riche et complaisant se sentait étrangement attiré par la stricte vie ascétique menée par les membres de quelques-uns des ordres monastiques.,Elenge mobali mozwi mpe ya komiyokisa esengo amiyokaki mopaya na bomoyi oyo ya kobika na komizangisa bisengo misusu oyo bandimi basusu ya molongo ya nsango bazalaki kobika.
Vous en avez assez de cette bande de racailles ? Eh bien on va vous en débarrasser.,Olembi na lisanga oyo ya bibosono ? Bongo bakolongolela biso yango.
Henry n'a pas plus de six dollars.,Henry azangi ata dollar motoba.
La fille s'efforçait de retenir ses larmes.,Mwana mwasi akangaki motema mpo na kosopa pizoli.
"Sire, je n'ai pas eu besoin de cette hypothèse.","Sire, nazalaki na mposa ya likanisi ena te."
La Garde meurt mais ne se rend pas !,Mokengeli akufi kasi amikabi te !
Chronique d'une mort annoncée est un roman de l'écrivain colombien Gabriel García Márquez.,Chronique d'une mort annoncée ezali roman ya mokomi ya colombie Gabriel García Márquez.
"Quand je suis arrivé à la maison, je me suis rendu compte que l'une de mes valises avait disparu.","O tango nakomaki na ndako, namonaki ete moko ya basanduku na ngai ebungaki."
Cambronne à Waterloo a enterré le premier empire dans un mot où est né le second.,Kambrone na Waterlu akundaki ampire ya yambo na kati liloba oyo ebotisaki oyo ya sika.
"D'où es-tu, Karen ?","Ozali moto ya wapi, Karen?"
Vous devriez examiner les faits d'un point de vue médical.,Esengeli botala malamu makambo nandenge ya kimunganga.
Kevin a acheté une bague et va demander Kim en mariage cette nuit.,Kevin asombaki lopete mpe akosenga Kim libala na butu ya lelo.
L'instituteur a souligné l'importance des exercices quotidiens.,Molakisi abetaki sete na ntina ya koyekola mikolo inso.
Tu ferais mieux d'examiner attentivement le contrat avant de signer.,Esengeli nayo kotala contrat malamu yambo ya kotia mokoloto.
Liz est morte depuis huit ans.,Liz akufa uta mbula mwambe.
C'est quelque chose que ma mère a fait.,Ezali eloko moko oyo mama na ngai asalaki.
La loi sur le transfert des obligations de surveillance de l'étiquetage de la viande bovine a été votée sous un autre nom.,Mobeko mpo ya botindi mibeko ya mokengeli lolenge ya kotiya elembo ya ngombe endimamaki na nkombo mosusu.
Le sauvage m'a dérobé mes joyaux précieux et a pris la fuite.,Moto ya bonyama ayibaki ngai mabanga na ngai ya talo mpe akimaki.
La femme à l'apparence étrange a été prise pour une sorcière.,Mwasi azalaki na bomonana ya bokyesano te azwa maki lokola ndoki.
Permettez que je me présente.,Botika ngai namilakisa.
"Le passé n'éclairant plus l'avenir, l'esprit marche dans les ténèbres.","Ntangu eleka ezali kopesa pole lisusu te na ntangu ekoya, molimo ezali kotambola na molili."
"Pour être exact, son discours contenait plusieurs fautes.","Pona kozala sembo, liloba naye ezalaki na mabunga mingi."
L'homme qui a appelé il y a une heure était Frank.,Moko abengaki eleki bongo ngonga moko ezali Frank.
Pour fermer la boîte de dialogue vous devez cliquer sur le X en haut à droite de la fenêtre.,Mpo na kokanga saduku ya masolo esengeli bofina na X likolo ya loboko ya mobali ya lininisa.
"Pratique davantage de sport, sinon tu seras en surpoids.","Salaka lisano koleka, soki te okozala na ba kilos koleka."
Tu peux sortir si tu reviens avant 7 heures.,Okoki kobima soko okozonga yambo ya ngonga sambo.
Quand la fête a-t-elle lieu ?,Ntango nini nteke esalamaki ?
Il a présenté une excuse de ne pas s'être rendu à la fête.,Asengaki bolimbisi ndenge akendaki na feti te.
"Pour se convaincre qu'un légume bio est meilleur, il suffit de fermer les yeux et de goûter un petit chou de Bruxelles ordinaire, puis un bio, justes étuvés. Je te défie de ne pas sentir la différence.","Mpo na komindimisa ete ndunda oyo elonami na mabele mpe esili kozwa ba nkisi ya mindele te ete ezali malamu koleka, esengeli okanga miso mpe omeka moke ya chou ewuti Bruxelles, mpe moke ya oyo elonami na lolenge oyo esengeli, ntango batokisi yango mpamba. Natiye ntembe na yo ete okoyoka bokeseni te."
"La porte restant verrouillée de l'intérieur, il ne pouvait rentrer dans la maison.","Ekuke etikalaki ya kokangama na ndenge ya kati, akokaki te koyingela okati ya ndaku."
Il ne faut pas chanter victoire avant la bataille.,Okoki koyemba elonga te liboso ya etumba.
Je me suis blessé pendant la séance d'éducation physique.,Nazokaki mpota na na ngonga ya bosali education physique.
Il décida d'être prudent et de se retirer du tournoi à cause de son genou blessé.,Azwaki mokona ya kozala ekenge mpe yako bendana na masano likolo ya libolongo na ye ezokaki mpota.
Tenez le bébé doucement.,Zua mwana na malembe.
J'ai manqué mon train.,Nazangaki engbunduka.
"Ils vidèrent des bouteilles de vin de Bordeaux dans le caniveau devant les caméras de télévision, en criant des slogans contre la France qui refusait la guerre en Iraq.","Basopaki milangi ya vino ya Bordeaux o kati ya talase liboso ya bapanzi nsango, mpe babandaki koganga mpe kobwaka bibwakela na France zambi eboyaki bitumba na Iraki."
Formez des boules de 3 cm de diamètre et déposez-les sur une feuille de papier d'aluminium beurrée.,Sala mabungutulu ya satimetele misato mpe tiya yango likolo ya nkasa ya aliminium ya mpembe batiya manteka.
Je cherchais à tuer le temps.,Nazalaki kolekisa ntango.
La solution rapide et efficace pour trouver le job de vos rêves !,Lolenge ya mbangu mpe makasi pona to zwa misala oyo tokanaka !
La statue de la liberté est un symbole de l'Amérique.,Ekeko ya bonsomi ezali elembo ya mboka America.
On a utilisé les mathématiques pour calculer comment avait été formé l'univers immédiatement avant et après le Big Bang.,Tosalelaki bamatematiki po na kotuya lolenge molongo esalemaki mbala moko sima ya Big Bang.
Brian laissa la porte ouverte.,Brian atikaki ekuke polele.
"Il m'a dit que, quoi qu'il puisse arriver, il y était préparé.","Ayebisaki nga ete, elandi te eloko oyo eko koma, azalaki ya ko bongama."
Votre belle voix était très agréable aux oreilles.,Mongongo nayo ya kitoko ezalaki malamu mingi na matoyi.
"Attendez un moment et ne quittez pas, s'il vous plait.","Zila moke mpe kokende te, nasengi nayo."
Soudain j'ai remarqué que ma montre avait disparu.,Mbalamoko namonaki ete montele nangai ebungaki.
Le directeur de la recherche fit faire au département un travail complet de test du nouveau produit.,Mokambi ya mabi ma boluki atindaki departement na ye esala batesti nyonso ya produit ya sika bazali kobimisa.
Mr Mitchell a exigé que je verse le reste de l'argent pour la fin de la semaine.,Mitchell alingaki ete natiya mbongo etikalaki na nsuka ya mposo.
La veuve souffrait d'un cancer de l'estomac.,Mwasi oyo akufela mobali azalaki kobela kansele ya likundu.
"Nous publierons l'ordre du jour définitif le matin du lundi 20 janvier, donc répondez rapidement, s'il vous plait.","Toko panza na mokili ntina ya suka ya lisolo na biso na ntongo ya mokolo ya liboso ya mokolo ya ntúkú míbalé mya sanza ya yambo, na yango boyanola na lombango."
"L'amour n'est pas un jeu, donc tu ne peux pas choisir les meilleurs morceaux !","Bolingo ezali lisano te, na yango okoki kopona biteni ya kitoko te ."
Les secours en montagne sont en alerte 24 h sur 24.,Bobikisi na kati ya bangomba bazalaka miso nga ngonga 24 likolo ya 24.
Elle n'est pas le type de fille que tu imagines.,Azali lolenge ya bilenge basi oyo ozali kokanisa te.
"L'humour peut être disséqué comme une grenouille, mais la chose meurt dans l'opération et les entrailles rebutent quiconque à l'exception du pur esprit scientifique.","Maseki ekoki kopanzana lokola ligorodo, kasi eloko yango ekufaka na lipaso mpe misopo ezongaka longola makanisi ya moto ya mayele."
Nous baptisâmes le chien Tim.,Topesaki mbwa nkombo ya Tim.
"Aucun amour n'est laid, aucune prison n'est belle.","Bolingo moko te ezali mabe, boloko yoko te ezali malamu."
L'Église catholique s'oppose au divorce.,Ecclezia katoliko eboyaka bokabwani ya balongani.
Certains bébés apprennent à nager avant même d'avoir un an.,Balezi misusu bayekolaka konana liboso ya bokokisi mbula moko.
Cette offre est réservée aux clients qui reçoivent ce courriel : n'oubliez pas de vous identifier sur le site pour en bénéficier !,Likabo oyo ebongisami na basombi oyo bayambaka nsango oyo na nzela ya internet: kobosana te komikomisa na site ya Internet mpo na ozwa likabo yango !
"Bien qu'il soit jeune, il est très prudent.","Atako azali elenge, azali na angele mingi."
"C'est ma recette spéciale, le ragoût de lapin.","Oyo ezali elubu na ngai ya ntina, soupou ya lapin."
J'attachai mon chien à un arbre dans le jardin.,Nakangisa mbwa na ngai na nzete moko na kati ya elanga.
Mon père m'a emmené au cinéma hier soir.,Tata amemaki ngai na sinema lobi loleki na mpokwa.
Le clown faisait un drôle de visage.,Klown atyaki elongi ya kosekisa.
La ville se situe à la pointe la plus au nord du Japon.,Engumba ezali bongo na nzela kokende likolo ya Japon.
"Quand j'ai entendu le message, j'ai voulu pleurer.","Ntango nayokaki sango, nalingaki nalela."
Nous prenons les commandes par téléphone.,Tozwaka bakomande na telefone.
L'opinion publique joue un rôle important dans le domaine politique.,Likanisi ya bomoto ezali na motuya monene na makambo ma politiki.
Qu'as-tu l'intention de faire ?,Ozali kokana kosala nini?
Je réalisai alors que cette horrible cave était le seul endroit qui pouvait sauver nos vies.,Namonaki ete libulu oyo ya nsomo ezalaki esika se moko oyo ekokaki kobikisa bomoyi bwa biso.
Vous devez être conscient de vos responsabilités familiales.,Esengeli koyeba nini ezali mosala na yo pona na libota.
Il n'est pas facile de maîtriser l'anglais.,koloba anglais malamu ejali pete te.
"Partout où tu iras, tu seras bienvenu.","Bisika binso okokende, okotombelama boyei malamu."
"Partout où tu iras, tu seras bienvenue.","Bisika nyoso okokende, oko zala moyei malamu."
Père est allé à la pêche.,Tata akei koloba mbisi.
"Aucun colorant, agent de conservation ou arôme artificiel.","Langi moko te, moto ya kobomba to mpe mpimbo ya mindele."
Le présent accord est produit en deux exemplaires signés par les deux parties.,Mokanda mya boyokani oyo esalami na nkasa mibale ba ngambo mibale basali kotia mikoloto na bango.
"Ta position est peut-être un peu à coté de la cible, mais tout de même proche.","Bososoli na yo ezali mbala mosusu libanda moke na likambo tozali kolobela, kasi ezali mpembeni na yango."
"Une fois que vous commencez, vous devez poursuivre.","Kaka soki obandi, osengeli okoba."
Je m'appelle Sara.,Nkombo na ngayi Sara.
"Au vu de son manque total de gratitude, après tous les efforts que j'ai faits pour elle, je me dis que j'aurais mieux fait de pisser dans un violon.","Nako mona kozanga maa ya litondo naye, na sima ya lotomo nionso oyo na sali pona ye, na milobi ete na sali mosala ya mpunda."
La paix n'est pas l'absence de violence mais la présence de justice.,"Kimya ezali bozangi ya mobulu te, kasi bozali ya mibeko."
Mon père travaille dans une usine.,Tata nangayi asalaka na Usine moko.
"Pour autant que je sache, c'est un chic type.","Na maye nyonso nayebi, azali mobali moko ya kitoko."
"Si vous voulez cet emploi, vous devez faire acte de candidature avant demain.","Soki olingi mosala moye, esengeli okotisa dossier lelo."
Le boulot lui rapporte un demi million de yens par mois.,Mosala epesaka ye kati kati ya million ya mosolo ya ba japonais na suda ya sanza.
"Le boulot paie bien, mais d'un autre coté, je dois travailler douze heures par jour.","Mosala ezali kofuta malamu, kasi na ngambo esusu, nasengeli kosala ngonga zomi na mibale na mokolo moko."
Ce boulot me tue.,Mosala oyo ezali koboma ngai.
Empêcher la maladie de se répandre à toute vitesse n'a pas été une chose facile.,Ko pekisa bokono epanzana na lobango ezalaki eloko ya pete te.
"Punaise, ça faisait un moment que j'étais pas passé, qu'est-ce que ça bouge maintenant sur Tatoeba !","Liyanzi, ezali bongo ngonga moke tango nalekaki te, nini ezali koningana sika oyo na Tatoeba!"
Quand avez-vous commencé à apprendre l'anglais ?,Uta ntango nini obandaki koyekola lokoto ya angele ?
"Mais je suis convaincu que pour avancer, nous devons dire ouvertement les choses que nous avons sur le cœur, et qui sont trop souvent dites, seulement derrière des portes fermées.","Kasi nazali na kondima ete mpona kokende liboso, esengeli toloba na polele makambo tozali na yango na motema, mpe elobamaka mingi na nkunku."
"Enfant, j'ai passé plusieurs années en Indonésie et entendu l'appel de l'adhan à la pointe de l'aube et à la tombée du crépuscule.","Mwana, navandaki mibu mingi na Indonésie pe nayokaki bobengi ya adhan banda tongo ti pokwa."
"En signant le traité de Tripoli en 1796, notre second Président John Adams écrivit : ""Les États-Unis n'ont en eux-mêmes aucun caractère d'inimitié à l'encontre des lois, de la religion ou de la tranquillité des Musulmans.","Na ko ndimela onzela ya elembo liyokani ya Tripoli na mobu 1796, mokonzi ya mibale ya ekolo na biso John Adams akomaki : ""Amerika ezali na yango moko ezaleli ata moko te ya bozindo kotelemela mibeko, lingomba to kimya ya baislamu."
Nous jouions souvent de la house dans le parc.,Tozalaka kosakana mingi lisano ya house na libanda.
"Et ainsi, dans cet esprit, laissez-moi vous parler, aussi clairement et ouvertement que je le peux, de certains problèmes spécifiques que je crois que nous devons, en définitive, affronter ensemble.","Mpe yango, na molimo wana, botika ngai nayebisa bino, mpe na lolenge ya nsembompe polele ete nakoki kosala yango, makambo misusu nabanzi ete tosengeli kobunda na yango elongo."
